label,leftPaddle_y,rightPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev,user
up,109.812,0,149.00748,87.597556,-333.092,-127.359,164.968248,93.68314,joey
up,12,0,85.432112,22.8403495,337.916,-66.9035,67.5338,26.352527,joey
up,12,0,118.586296,17,338.7,67.6875,102.337912,19.5051745,joey
stop,12,0,118.586296,17,338.7,67.6875,102.337912,19.5051745,joey
down,12,0,169.1414,27.1742415,339.892,68.8795,152.1568,23.7402665,joey
stop,71.4,0,271.469,48.1980915,342.292,71.2795,254.3644,44.6441165,joey
up,71.4,0,374.171912,69.868266,344.684,73.6715,357.636296,66.34125,joey
stop,61.302,0,391.7612,73.6359165,345.092,74.0795,374.171912,69.868266,joey
down,61.302,0,600.9562,119.6813915,349.908,78.8955,583.121296,115.668125,joey
stop,130.404,0,535.874864,137.819891,-352.7,41.83575,552.776816,135.820991,joey
down,130.404,0,411.015928,153.0863467,-355.524,44.65975,430.179232,150.6863842,joey
stop,169.212,0,341.256536,161.9933217,-357.092,46.22775,358.013352,159.8294535,joey
down,169.212,0,89.654104,217.6838467,365.892,55.02775,71.369504,214.9424592,joey
stop,228.612,0,199.781704,234.5521717,368.292,57.42775,181.377104,231.6907842,joey
down,228.612,0,329.173904,255.1418842,371.092,60.22775,311.370704,252.2601682,joey
stop,278.112,0,422.196904,270.4488217,373.092,62.22775,404.670416,267.5329535,joey
down,278.112,0,508.375432,326.4395285,-379.916,69.05175,528.098616,322.8596535,joey
stop,327.018,0,414.389784,343.7393467,-381.892,71.02775,433.07368,340.268591,joey
down,327.018,0,278.842336,369.3844342,-384.724,73.85975,299.58244,365.4076717,joey
stop,395.526,0,145.386008,395.4187717,-387.492,76.62775,164.730608,391.5973842,joey
up,395.526,0,332.587,437.4791797,396.708,-85.84375,312.7616,441.7413673,joey
stop,366.222,0,391.3874,424.7451207,397.892,-87.02775,371.5028,429.0665082,joey
up,366.222,0,471.525296,407.171891,399.5,-88.63575,451.560296,411.5736785,joey
stop,326.82,0,551.1842,389.4542607,401.092,-90.22775,532.341712,393.668457,joey
up,326.82,0,462.247256,334.1180107,-405.892,-95.02775,482.107152,338.7455585,joey
stop,286.824,0,380.175696,314.8410292,-407.508,-96.64375,401.333664,319.8340562,joey
