,label,leftPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev,user
173,up,150.006,267.24,256.71636,170.3,-170.3,258.735,265.20136,joey
174,up,31.206,370.86,153.336504,175.1,-175.1,362.28970400000003,161.88759199999998,joey
175,up,31.206,370.86,153.336504,175.1,-175.1,362.28970400000003,161.88759199999998,ion
176,up,12.0,388.234104,136.00170400000002,175.892,-175.892,379.976016,144.24212,joey
177,stop,12.0,388.234104,136.00170400000002,175.892,-175.892,379.976016,144.24212,joey
178,stop,12.0,388.234104,136.00170400000002,175.892,-175.892,379.976016,144.24212,ion
179,down,12.0,486.184704,38.271264,180.292,-180.292,477.539904,46.897632,joey
180,up,12.0,486.184704,38.271264,180.292,-180.292,477.539904,46.897632,ion
181,stop,61.5,531.507704,34.8262,182.292,182.292,522.585,25.903496,joey
182,down,61.5,566.682472,183.5972,-188.708,188.708,576.46284,173.7952,joey
183,down,180.498,452.065592,298.455512,-193.516,193.516,462.28823200000005,288.2104,joey
184,down,180.498,452.065592,298.455512,-193.516,193.516,462.28823200000005,288.2104,ion
185,down,199.50599999999997,433.4882,317.069912,-194.28400000000002,194.28400000000002,442.20668,308.33523199999996,joey
186,down,209.604,423.59012,326.9888,-194.692,194.692,433.4882,317.069912,joey
187,down,209.604,423.59012,326.9888,-194.692,194.692,433.4882,317.069912,ion
188,down,229.998,403.53688,347.084512,-195.516,195.516,413.28267999999997,337.318712,joey
189,stop,229.998,403.53688,347.084512,-195.516,195.516,413.28267999999997,337.318712,ion
190,down,239.898,393.77108,356.870312,-195.916,195.916,403.53688,347.084512,joey
191,down,239.898,393.77108,356.870312,-195.916,195.916,403.53688,347.084512,ion
192,down,259.5,374.3754,376.3052,-196.708,196.708,383.98528,366.676112,joey
193,down,278.904,355.09801600000003,395.621,-197.49200000000002,197.49200000000002,364.746312,385.953496,joey
194,down,299.298,334.756344,416.005112,-198.31599999999997,198.31599999999997,344.839248,405.9014,joey
