label,leftPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev
stop,407.802,258.225336,279.2898525086608,169.87599999999998,169.87599999999998,249.572064,270.63658050866076
up,407.802,361.9403039999998,383.00482050866054,174.69199999999998,174.69199999999998,352.86713599999985,373.9316525086606
stop,348.798,414.3537359999997,435.41825250866043,177.07599999999996,177.07599999999996,405.3332639999997,426.39778050866045
up,348.798,458.69366399999967,454.25448,179.06799999999998,-179.06799999999998,449.9289359999996,463
stop,91.00199999999998,547.8210079999998,252.1976259999999,-189.48399999999987,-96.34599999999996,557.2652079999998,256.9849259999999
down,91.00199999999998,500.4907279999998,228.05870799999988,-191.47599999999983,-98.33799999999995,509.8442399999998,232.84845799999988
stop,150.402,442.8080079999998,198.31738799999985,-193.8759999999998,-100.73799999999996,452.27911999999975,203.22473799999986
up,150.402,364.7776399999999,157.54221999999982,-197.0759999999998,-103.93799999999997,374.4055519999999,162.60636999999983
up,41.30399999999999,255.19523199999998,99.27884999999978,-201.48399999999978,-108.34599999999999,265.23943199999997,104.66614999999977
up,21.50399999999999,235.04684799999998,88.44426599999977,-202.28399999999976,-109.14599999999999,245.33211999999997,93.97949999999977
up,12,214.818464,77.52968199999977,-203.08399999999975,-109.94599999999998,224.740768,82.88822399999977
stop,12,214.818464,77.52968199999977,-203.08399999999975,-109.94599999999998,224.740768,82.88822399999977
down,12,39.43812800000019,51.6662,-209.89199999999974,116.75400000000003,49.90272800000018,45.8385
down,130.8,112.80139999999992,96.61895000000005,214.69199999999978,62.57700000000002,102.07679999999992,93.50010000000005
stop,130.8,112.80139999999992,96.61895000000005,214.69199999999978,62.57700000000002,102.07679999999992,93.50010000000005
down,130.8,254.2610959999997,139.05178100000003,219.89999999999978,67.78500000000005,243.05659999999972,135.60515000000004
stop,170.20200000000003,298.17959999999965,152.6994,221.4919999999998,69.37700000000007,287.11499999999967,149.24055
down,170.20200000000003,387.6410959999995,181.162781,224.69999999999976,72.58500000000008,376.4160959999995,177.543531
stop,190.002,410.1510959999995,188.46128099999999,225.49999999999974,73.38500000000008,398.6609999999995,184.72905
down,190.002,576.532312,278.14403100000004,-234.69999999999973,82.58500000000012,588.0038000000001,274.10697
down,308.80199999999996,434.51252000000017,329.13503100000014,-239.49999999999974,87.38500000000015,446.45752000000016,324.77578100000017
